gene_id,locus_tag
SGL_RS06270,slr1830
SGL_RS06275,sll1736
SGL_RS06280,sll1735
SGL_RS06285,sll1734
SGL_RS06290,sll1733
SGL_RS06295,sll1732
SGL_RS06300,sll1730
SGL_RS06305,slr1834
SGL_RS06310,slr1835
SGL_RS06315,sll1726
SGL_RS06320,sll1725
SGL_RS06325,sll1724
SGL_RS06330,sll1723
SGL_RS06335,sll1722
SGL_RS06340,slr1837
SGL_RS06345,sll1721
SGL_RS06350,slr1838
SGL_RS06355,slr1839
SGL_RS06360,slr1840
SGL_RS06365,slr1841
SGL_RS06370,slr1842
SGL_RS06375,slr1843
SGL_RS06380,slr1844
SGL_RS06385,sll1717
SGL_RS06390,sll1716
SGL_RS06395,sll1715
SGL_RS19655,SGL_RS19655
SGL_RS19565,SGL_RS19565
SGL_RS06405,sll1713
SGL_RS06410,sll1712
SGL_RS06415,sll1469
SGL_RS06420,slr1535
SGL_RS06425,slr1536
SGL_RS06430,slr1537
SGL_RS06435,slr1538
SGL_RS06440,slr1540
SGL_RS06445,slr1541
SGL_RS06450,slr1542
SGL_RS06455,slr1543
SGL_RS06460,sll1468
SGL_RS06465,SGL_RS06465
SGL_RS06470,ssr2595
SGL_RS06475,slr1544
SGL_RS06480,slr1545
SGL_RS06485,slr1546
SGL_RS06490,slr1547
SGL_RS06495,ST6803t10
SGL_RS06500,sll1466
SGL_RS06505,ssl2823
SGL_RS06510,sll1464
SGL_RS06515,sll1463
SGL_RS06520,sll1462
SGL_RS06525,sll1461
SGL_RS06530,sll1459
SGL_RS06535,slr1549
SGL_RS06540,ssr2611
SGL_RS06545,slr1550
SGL_RS06550,sll1457
SGL_RS06555,sll1456
SGL_RS06560,slr1552
SGL_RS06565,sll1455
SGL_RS06570,true
SGL_RS06575,sll1454
SGL_RS19195,SGL_RS19195
SGL_RS06580,true
SGL_RS06585,sll1452
SGL_RS06590,sll1451
SGL_RS06595,sll1450
SGL_RS06600,sll1634
SGL_RS06605,slr1748
SGL_RS06610,ssl3177
SGL_RS06615,sll1633
SGL_RS06620,sll1632
SGL_RS06625,slr1751
SGL_RS06630,slr1752
SGL_RS06635,sll1144
SGL_RS06640,slr1218
SGL_RS06645,slr1219
SGL_RS06650,slr1220
SGL_RS19805,SGL_RS19805
SGL_RS06660,sll1143
SGL_RS06665,sll1142
SGL_RS06670,slr1223
